,R,cidx,C,m
372,0.465454545,0.03030303,1.69E-09,3.798212121
373,0.471919192,0.03030303,1.71E-09,3.798212121
374,0.478383838,0.03030303,1.74E-09,3.798212121
375,0.484848485,0.03030303,1.77E-09,3.798212121
376,0.491313131,0.03030303,1.79E-09,3.798212121
377,0.497777778,0.03030303,1.82E-09,3.798212121
378,0.504242424,0.03030303,1.85E-09,3.798212121
379,0.510707071,0.03030303,1.88E-09,3.798212121
380,0.517171717,0.03030303,1.91E-09,3.798212121
381,0.523636364,0.03030303,1.94E-09,3.798212121
382,0.53010101,0.03030303,1.98E-09,3.798212121
383,0.536565657,0.03030303,2.01E-09,3.798212121
384,0.543030303,0.03030303,2.04E-09,3.798212121
385,0.549494949,0.03030303,2.08E-09,3.798212121
386,0.555959596,0.03030303,2.12E-09,3.798212121
387,0.562424242,0.03030303,2.15E-09,3.798212121
388,0.568888889,0.03030303,2.19E-09,3.798212121
389,0.575353535,0.03030303,2.23E-09,3.798212121
390,0.581818182,0.03030303,2.28E-09,3.798212121
391,0.588282828,0.03030303,2.32E-09,3.798212121
392,0.594747475,0.03030303,2.37E-09,3.798212121
393,0.601212121,0.03030303,2.41E-09,3.798212121
394,0.607676768,0.03030303,2.46E-09,3.798212121
395,0.614141414,0.03030303,2.51E-09,3.798212121
396,0.620606061,0.03030303,2.56E-09,3.798212121
397,0.627070707,0.03030303,2.62E-09,3.798212121
398,0.633535354,0.03030303,2.67E-09,3.798212121
399,0.64,0.03030303,2.73E-09,3.798212121
400,0,0.04040404,1.01E-09,3.777949495
401,0.006464646,0.04040404,1.02E-09,3.777949495
402,0.012929293,0.04040404,1.03E-09,3.777949495
403,0.019393939,0.04040404,1.04E-09,3.777949495
404,0.025858586,0.04040404,1.05E-09,3.777949495
405,0.032323232,0.04040404,1.06E-09,3.777949495
406,0.038787879,0.04040404,1.06E-09,3.777949495
407,0.045252525,0.04040404,1.07E-09,3.777949495
408,0.051717172,0.04040404,1.08E-09,3.777949495
409,0.058181818,0.04040404,1.09E-09,3.777949495
410,0.064646465,0.04040404,1.10E-09,3.777949495
411,0.071111111,0.04040404,1.11E-09,3.777949495
412,0.077575758,0.04040404,1.12E-09,3.777949495
413,0.084040404,0.04040404,1.13E-09,3.777949495
414,0.090505051,0.04040404,1.14E-09,3.777949495
415,0.096969697,0.04040404,1.15E-09,3.777949495
416,0.103434343,0.04040404,1.16E-09,3.777949495
417,0.10989899,0.04040404,1.17E-09,3.777949495
418,0.116363636,0.04040404,1.18E-09,3.777949495
419,0.122828283,0.04040404,1.19E-09,3.777949495
420,0.129292929,0.04040404,1.20E-09,3.777949495
421,0.135757576,0.04040404,1.21E-09,3.777949495
422,0.142222222,0.04040404,1.22E-09,3.777949495
423,0.148686869,0.04040404,1.23E-09,3.777949495
424,0.155151515,0.04040404,1.24E-09,3.777949495
425,0.161616162,0.04040404,1.26E-09,3.777949495
426,0.168080808,0.04040404,1.27E-09,3.777949495
427,0.174545455,0.04040404,1.28E-09,3.777949495
428,0.181010101,0.04040404,1.29E-09,3.777949495
429,0.187474747,0.04040404,1.30E-09,3.777949495
430,0.193939394,0.04040404,1.32E-09,3.777949495
431,0.20040404,0.04040404,1.33E-09,3.777949495
432,0.206868687,0.04040404,1.34E-09,3.777949495
433,0.213333333,0.04040404,1.36E-09,3.777949495
434,0.21979798,0.04040404,1.37E-09,3.777949495
435,0.226262626,0.04040404,1.38E-09,3.777949495
436,0.232727273,0.04040404,1.40E-09,3.777949495
437,0.239191919,0.04040404,1.41E-09,3.777949495
438,0.245656566,0.04040404,1.43E-09,3.777949495
439,0.252121212,0.04040404,1.44E-09,3.777949495
440,0.258585859,0.04040404,1.46E-09,3.777949495
441,0.265050505,0.04040404,1.47E-09,3.777949495
