,m
748,3.823540404040401
749,3.823540404040401
750,3.823540404040401
751,3.823540404040401
752,3.8235404040404006
753,3.8235404040404006
754,3.8235404040404006
755,3.8235404040404
756,3.8235404040404
757,3.8235404040404
758,3.8235404040403997
759,3.8235404040403997
760,3.8235404040403997
761,3.8235404040403993
762,3.8235404040403993
763,3.8235404040403993
764,3.823540404040399
765,3.823540404040399
766,3.823540404040399
767,3.8235404040403984
768,3.8235404040403984
769,3.8235404040403984
770,3.823540404040398
771,3.823540404040398
772,3.823540404040398
773,3.823540404040398
774,3.8235404040403975
775,3.8235404040403975
776,3.8235404040403975
777,3.823540404040397
778,3.823540404040397
779,3.823540404040397
780,3.8235404040403966
781,3.8235404040403966
782,3.8235404040403966
783,3.823540404040396
784,3.823540404040396
785,3.823540404040396
786,3.8235404040403957
787,3.8235404040403957
788,3.8235404040403957
789,3.8235404040403953
790,3.8235404040403953
791,3.8235404040403953
792,3.823540404040395
793,3.823540404040395
794,3.823540404040395
795,3.8235404040403944
796,3.8235404040403944
797,3.8235404040403944
798,3.8235404040403944
799,3.823540404040394
800,3.8184747474747516
801,3.8184747474747516
802,3.818474747474751
803,3.818474747474751
804,3.818474747474751
805,3.8184747474747507
806,3.8184747474747507
807,3.8184747474747507
808,3.8184747474747502
809,3.8184747474747502
810,3.8184747474747502
811,3.81847474747475
812,3.81847474747475
813,3.81847474747475
814,3.8184747474747494
815,3.8184747474747494
816,3.8184747474747494
817,3.818474747474749
818,3.818474747474749
819,3.818474747474749
820,3.818474747474749
821,3.8184747474747485
822,3.8184747474747485
823,3.8184747474747485
824,3.818474747474748
825,3.818474747474748
826,3.818474747474748
827,3.8184747474747476
828,3.8184747474747476
829,3.8184747474747476
830,3.818474747474747
831,3.818474747474747
832,3.818474747474747
833,3.8184747474747467
834,3.8184747474747467
835,3.8184747474747467
836,3.8184747474747462
837,3.8184747474747462
838,3.8184747474747462
839,3.818474747474746
840,3.818474747474746
841,3.818474747474746
842,3.818474747474746
843,3.8184747474747454
844,3.8184747474747454
845,3.8184747474747454
846,3.818474747474745
847,3.818474747474745
848,3.818474747474745
849,3.8184747474747445
850,3.8184747474747445
851,3.8184747474747445
852,3.818474747474744
853,3.818474747474744
854,3.818474747474744
855,3.8184747474747436
856,3.8184747474747436
857,3.8184747474747436
858,3.818474747474743
859,3.818474747474743
860,3.818474747474743
861,3.8184747474747427
862,3.8184747474747427
863,3.8184747474747427
864,3.8184747474747422
865,3.8184747474747422
866,3.8184747474747422
867,3.8184747474747422
868,3.818474747474742
869,3.818474747474742
870,3.818474747474742
871,3.8184747474747414
872,3.8184747474747414
873,3.8184747474747414
874,3.818474747474741
875,3.818474747474741
876,3.818474747474741
877,3.8184747474747405
878,3.8184747474747405
879,3.8184747474747405
880,3.81847474747474
881,3.81847474747474
882,3.81847474747474
883,3.8184747474747396
884,3.8184747474747396
885,3.8184747474747396
886,3.818474747474739
887,3.818474747474739
888,3.818474747474739
889,3.818474747474739
890,3.8184747474747387
891,3.8184747474747387
892,3.8184747474747387
893,3.8184747474747383
894,3.8184747474747383
895,3.8184747474747383
896,3.818474747474738
897,3.818474747474738
898,3.818474747474738
899,3.8184747474747374
900,3.813409090909095
901,3.813409090909095
902,3.8134090909090945
903,3.8134090909090945
904,3.8134090909090945
905,3.813409090909094
906,3.813409090909094
907,3.813409090909094
908,3.8134090909090936
909,3.8134090909090936
910,3.8134090909090936
911,3.8134090909090936
912,3.813409090909093
913,3.813409090909093
914,3.813409090909093
915,3.8134090909090927
916,3.8134090909090927
917,3.8134090909090927
918,3.8134090909090923
919,3.8134090909090923
920,3.8134090909090923
921,3.813409090909092
922,3.813409090909092
923,3.813409090909092
924,3.8134090909090914
925,3.8134090909090914
926,3.8134090909090914
927,3.813409090909091
928,3.813409090909091
929,3.813409090909091
930,3.8134090909090905
931,3.8134090909090905
932,3.8134090909090905
933,3.81340909090909
934,3.81340909090909
935,3.81340909090909
936,3.81340909090909
937,3.8134090909090896
938,3.8134090909090896
939,3.8134090909090896
940,3.813409090909089
941,3.813409090909089
942,3.813409090909089
943,3.8134090909090888
944,3.8134090909090888
945,3.8134090909090888
946,3.8134090909090883
947,3.8134090909090883
948,3.8134090909090883
949,3.813409090909088
950,3.813409090909088
951,3.813409090909088
952,3.8134090909090874
953,3.8134090909090874
954,3.8134090909090874
955,3.813409090909087
956,3.813409090909087
957,3.813409090909087
958,3.813409090909087
959,3.8134090909090865
960,3.8134090909090865
961,3.8134090909090865
962,3.813409090909086
963,3.813409090909086
964,3.813409090909086
965,3.8134090909090856
966,3.8134090909090856
967,3.8134090909090856
968,3.813409090909085
969,3.813409090909085
970,3.813409090909085
971,3.8134090909090848
972,3.8134090909090848
973,3.8134090909090848
974,3.8134090909090843
975,3.8134090909090843
976,3.8134090909090843
977,3.813409090909084
978,3.813409090909084
979,3.813409090909084
980,3.813409090909084
981,3.8134090909090834
982,3.8134090909090834
983,3.8134090909090834
984,3.813409090909083
985,3.813409090909083
986,3.813409090909083
987,3.8134090909090825
988,3.8134090909090825
989,3.8134090909090825
990,3.813409090909082
991,3.813409090909082
992,3.813409090909082
993,3.8134090909090816
994,3.8134090909090816
995,3.8134090909090816
996,3.813409090909081
997,3.813409090909081
998,3.813409090909081
999,3.8134090909090808
1000,3.8083434343434384
1001,3.8083434343434384
1002,3.8083434343434384
1003,3.808343434343438
1004,3.808343434343438
1005,3.808343434343438
1006,3.8083434343434375
1007,3.8083434343434375
1008,3.8083434343434375
1009,3.808343434343437
1010,3.808343434343437
1011,3.808343434343437
1012,3.8083434343434366
1013,3.8083434343434366
1014,3.8083434343434366
1015,3.808343434343436
1016,3.808343434343436
1017,3.808343434343436
1018,3.8083434343434357
1019,3.8083434343434357
1020,3.8083434343434357
1021,3.8083434343434353
1022,3.8083434343434353
1023,3.8083434343434353
1024,3.8083434343434353
1025,3.808343434343435
1026,3.808343434343435
1027,3.808343434343435
1028,3.8083434343434344
1029,3.8083434343434344
1030,3.8083434343434344
1031,3.808343434343434
1032,3.808343434343434
1033,3.808343434343434
1034,3.8083434343434335
1035,3.8083434343434335
1036,3.8083434343434335
1037,3.808343434343433
1038,3.808343434343433
1039,3.808343434343433
1040,3.8083434343434326
1041,3.8083434343434326
1042,3.8083434343434326
1043,3.808343434343432
1044,3.808343434343432
1045,3.808343434343432
1046,3.8083434343434317
1047,3.8083434343434317
1048,3.8083434343434317
1049,3.8083434343434317
1050,3.8083434343434313
1051,3.8083434343434313
1052,3.8083434343434313
1053,3.808343434343431
1054,3.808343434343431
1055,3.808343434343431
1056,3.8083434343434304
1057,3.8083434343434304
1058,3.8083434343434304
1059,3.80834343434343
1060,3.80834343434343
1061,3.80834343434343
1062,3.8083434343434295
1063,3.8083434343434295
1064,3.8083434343434295
1065,3.808343434343429
1066,3.808343434343429
1067,3.808343434343429
1068,3.8083434343434286
1069,3.8083434343434286
1070,3.8083434343434286
1071,3.8083434343434286
1072,3.808343434343428
1073,3.808343434343428
1074,3.808343434343428
1075,3.8083434343434277
1076,3.8083434343434277
1077,3.8083434343434277
1078,3.8083434343434273
1079,3.8083434343434273
1080,3.8083434343434273
1081,3.808343434343427
1082,3.808343434343427
1083,3.808343434343427
1084,3.8083434343434264
1085,3.8083434343434264
1086,3.8083434343434264
1087,3.808343434343426
1088,3.808343434343426
1089,3.808343434343426
1090,3.8083434343434255
1091,3.8083434343434255
1092,3.8083434343434255
1093,3.808343434343425
1094,3.808343434343425
1095,3.808343434343425
1096,3.808343434343425
1097,3.8083434343434246
1098,3.8083434343434246
1099,3.8083434343434246
1100,3.8032777777777818
1101,3.8032777777777818
1102,3.8032777777777818
1103,3.8032777777777813
1104,3.8032777777777813
1105,3.8032777777777813
1106,3.803277777777781
1107,3.803277777777781
1108,3.803277777777781
1109,3.8032777777777804
1110,3.8032777777777804
1111,3.8032777777777804
1112,3.80327777777778
1113,3.80327777777778
1114,3.80327777777778
1115,3.8032777777777795
1116,3.8032777777777795
1117,3.8032777777777795
1118,3.8032777777777795
1119,3.803277777777779
1120,3.803277777777779
1121,3.803277777777779
1122,3.8032777777777786
1123,3.8032777777777786
1124,3.8032777777777786
1125,3.803277777777778
1126,3.803277777777778
1127,3.803277777777778
1128,3.8032777777777778
1129,3.8032777777777778
1130,3.8032777777777778
1131,3.8032777777777773
1132,3.8032777777777773
1133,3.8032777777777773
1134,3.803277777777777
1135,3.803277777777777
1136,3.803277777777777
1137,3.8032777777777764
1138,3.8032777777777764
1139,3.8032777777777764
1140,3.8032777777777764
1141,3.803277777777776
1142,3.803277777777776
1143,3.803277777777776
1144,3.8032777777777755
1145,3.8032777777777755
1146,3.8032777777777755
1147,3.803277777777775
1148,3.803277777777775
1149,3.803277777777775
1150,3.8032777777777746
1151,3.8032777777777746
1152,3.8032777777777746
1153,3.803277777777774
1154,3.803277777777774
1155,3.803277777777774
1156,3.8032777777777738
1157,3.8032777777777738
1158,3.8032777777777738
1159,3.8032777777777733
1160,3.8032777777777733
1161,3.8032777777777733
1162,3.803277777777773
1163,3.803277777777773
1164,3.803277777777773
1165,3.803277777777773
1166,3.8032777777777724
1167,3.8032777777777724
1168,3.8032777777777724
1169,3.803277777777772
1170,3.803277777777772
1171,3.803277777777772
1172,3.8032777777777715
1173,3.8032777777777715
1174,3.8032777777777715
1175,3.803277777777771
1176,3.803277777777771
1177,3.803277777777771
1178,3.8032777777777707
1179,3.8032777777777707
1180,3.8032777777777707
1181,3.80327777777777
1182,3.80327777777777
1183,3.80327777777777
1184,3.8032777777777698
1185,3.8032777777777698
1186,3.8032777777777698
1187,3.8032777777777698
1188,3.8032777777777693
1189,3.8032777777777693
1190,3.8032777777777693
1191,3.803277777777769
1192,3.803277777777769
1193,3.803277777777769
1194,3.8032777777777684
1195,3.8032777777777684
1196,3.8032777777777684
1197,3.803277777777768
1198,3.803277777777768
1199,3.803277777777768
1200,3.798212121212125
1201,3.798212121212125
1202,3.798212121212125
1203,3.7982121212121247
1204,3.7982121212121247
1205,3.7982121212121247
1206,3.7982121212121243
1207,3.7982121212121243
1208,3.7982121212121243
1209,3.7982121212121243
1210,3.798212121212124
1211,3.798212121212124
1212,3.798212121212124
1213,3.7982121212121234
1214,3.7982121212121234
1215,3.7982121212121234
1216,3.798212121212123
1217,3.798212121212123
1218,3.798212121212123
1219,3.7982121212121225
1220,3.7982121212121225
1221,3.7982121212121225
1222,3.798212121212122
1223,3.798212121212122
1224,3.798212121212122
1225,3.7982121212121216
1226,3.7982121212121216
1227,3.7982121212121216
1228,3.798212121212121
1229,3.798212121212121
1230,3.798212121212121
1231,3.7982121212121207
1232,3.7982121212121207
1233,3.7982121212121207
1234,3.7982121212121207
1235,3.7982121212121203
1236,3.7982121212121203
1237,3.7982121212121203
1238,3.79821212121212
1239,3.79821212121212
1240,3.79821212121212
1241,3.7982121212121194
1242,3.7982121212121194
1243,3.7982121212121194
1244,3.798212121212119
1245,3.798212121212119
1246,3.798212121212119
1247,3.7982121212121185
1248,3.7982121212121185
1249,3.7982121212121185
1250,3.798212121212118
1251,3.798212121212118
1252,3.798212121212118
1253,3.7982121212121176
1254,3.7982121212121176
1255,3.7982121212121176
1256,3.798212121212117
1257,3.798212121212117
1258,3.798212121212117
1259,3.798212121212117
1260,3.7982121212121167
1261,3.7982121212121167
1262,3.7982121212121167
1263,3.7982121212121163
