dS,R,Seq,cidx,a,da,dai,dap
41.67233447,-0.177615523,1.562340468,0.436687337,0.004872975,2.33E-06,2.11E-15,2.33E-06
67.85197039,0.527921584,0.72145229,0.932786557,0.006553311,1.60E-05,2.49E-15,1.60E-05
39.33666733,0.146089218,1.163104621,0.179835967,0.005721144,3.61E-06,6.31E-16,3.61E-06
46.4444889,0.013822765,0.370958192,0.015803161,0.008021604,6.17E-06,2.82E-17,6.17E-06
35.035007,-0.119139828,1.776283257,0.185037007,0.00185237,7.58E-07,6.19E-15,7.58E-07
37.23624725,0.505993199,1.355839168,0.875375075,0.016879376,1.23E-05,3.53E-16,1.23E-05
60.18963793,0.538363673,0.54694939,0.672934587,0.016559312,3.06E-05,2.82E-16,3.06E-05
20.56731346,0.465443089,0.764984997,0.349869974,0.019819964,4.54E-06,1.02E-16,4.54E-06
19.39107822,0.524962993,1.433230646,0.062812563,0.007661532,1.81E-06,1.23E-16,1.81E-06
15.49269854,0.621030206,1.804560912,0.218043609,0.017539508,2.94E-06,8.14E-17,2.94E-06
23.55831166,0.084306861,0.533926785,0.478695739,0.004492899,1.07E-06,2.72E-15,1.07E-06
6.75495099,0.375119024,1.318631726,0.99959992,0.014714943,3.99E-07,5.30E-16,3.99E-07
47.30146029,0.430636127,1.320492098,0.356871374,0.015139028,1.59E-05,1.79E-16,1.59E-05
32.86737347,0.578739748,0.404072815,0.091818364,0.004196839,2.96E-06,5.99E-16,2.96E-06
45.62112422,0.339615923,0.965161032,0.667533507,0.003132627,3.17E-06,7.81E-15,3.17E-06
68.15443089,0.34240048,0.285753151,0.448689738,0.010410082,2.03E-05,4.75E-16,2.03E-05
12.11522304,0.616505301,1.179475895,0.084416883,0.01489898,1.59E-06,4.37E-17,1.59E-06
43.03340668,0.197777556,1.067853571,0.278655731,0.013294659,9.67E-06,1.81E-16,9.67E-06
64.25605121,0.048107622,1.037343469,0.300460092,0.017423485,2.36E-05,1.14E-16,2.36E-05
16.98819764,-0.154990998,1.269517904,0.894178836,0.008493699,7.67E-07,1.42E-15,7.67E-07
10.60292058,-0.15325065,0.134318864,0.700540108,0.013518704,4.94E-07,4.40E-16,4.94E-07
69.86837367,0.425067013,0.294310862,0.943388678,0.011382276,2.51E-05,8.36E-16,2.51E-05
78.52210442,0.2344989,0.497835567,0.100820164,0.004564913,1.13E-05,5.56E-16,1.13E-05
53.58591718,0.445603121,1.559363873,0.586917383,0.012086417,1.66E-05,4.61E-16,1.66E-05
49.38507702,-0.222516503,0.074414883,0.5095019,0.012922585,7.35E-06,3.50E-16,7.35E-06
28.24644929,-0.215381076,1.735355071,0.826965393,0.019015803,3.78E-06,2.63E-16,3.78E-06
67.96959392,0.497639528,0.446861372,0.123624725,0.003468694,8.58E-06,1.18E-15,8.58E-06
57.97159432,-0.166303261,0.175247049,0.353470694,0.019167834,1.56E-05,1.10E-16,1.56E-05
61.44988998,-0.037691538,0.133574715,0.766153231,0.004228846,5.31E-06,4.92E-15,5.31E-06
12.72014403,0.302546509,1.662428486,0.356071214,0.000184037,1.21E-12,1.21E-12,2.08E-08
45.57071414,0.586571314,1.520668134,0.305061012,0.012766553,1.53E-05,2.15E-16,1.53E-05
75.22864573,0.564816963,0.587133427,0.659131826,0.007917584,2.42E-05,1.21E-15,2.42E-05
67.06221244,0.089179836,0.156271254,0.00140028,0.007205441,1.16E-05,3.10E-18,1.16E-05
15.34146829,0.17115023,1.047017403,0.173234647,0.007909582,8.67E-07,3.18E-16,8.67E-07
11.81276255,-0.110612122,0.314402881,0.709741948,0.010078016,4.93E-07,8.02E-16,4.93E-07
9.796359272,-0.076675335,1.080876175,0.891578316,0.008881776,3.28E-07,1.30E-15,3.28E-07
33.16983397,0.492766553,0.379887978,0.764952991,0.011806361,7.02E-06,6.30E-16,7.02E-06
77.36267253,0.598231646,1.195847169,0.477095419,0.017035407,5.44E-05,1.89E-16,5.44E-05
78.69013803,0.600146029,0.067717544,0.411082216,0.017147429,5.66E-05,1.61E-16,5.66E-05
1.730746149,0.208915783,0.742660532,0.673534707,0.017671534,3.29E-08,2.48E-16,3.29E-08
11.25825165,-0.038039608,0.622852571,0.23784757,0.00734947,3.81E-07,5.06E-16,3.81E-07
19.50870174,-0.18979796,1.676195239,0.198439688,0.003720744,4.36E-07,1.65E-15,4.36E-07
13.69473895,0.150614123,1.167569514,0.891978396,0.000172034,3.46E-12,3.46E-12,2.00E-08
66.00360072,0.53209842,0.629177836,0.618923785,0.001968394,5.01E-06,1.83E-14,5.01E-06
15.64392879,-0.197455491,0.577831566,0.644928986,0.001876375,1.52E-07,2.10E-14,1.52E-07
63.19743949,0.515217043,0.399979996,0.033406681,0.000592118,1.49E-06,1.09E-14,1.49E-06
72.15363073,0.141390278,1.673590718,0.00960192,0.008105621,1.53E-05,1.68E-17,1.53E-05
23.44068814,-0.127841568,1.566061212,0.930986197,0.003784757,6.88E-07,7.46E-15,6.88E-07
82.0340068,0.075083017,1.544852971,0.626725345,0.004552911,1.09E-05,3.47E-15,1.09E-05
53.77075415,-0.086769354,1.733122625,0.391678336,0.006529306,5.69E-06,1.05E-15,5.69E-06
9.981196239,0.331088218,1.498715743,0.49529906,0.018055611,9.54E-07,1.74E-16,9.54E-07
25.49069814,-0.045175035,0.248173635,0.263852771,0.017863573,3.90E-06,9.49E-17,3.90E-06
81.27785557,0.626077215,1.609221844,0.185437087,0.012390478,4.63E-05,1.39E-16,4.63E-05
14.77015403,-0.134628926,0.992322464,0.194638928,0.007521504,5.46E-07,3.95E-16,5.46E-07
49.56991398,0.284794959,1.684380876,0.535907181,0.01755151,1.74E-05,2.00E-16,1.74E-05
49.92278456,-0.201458292,1.289237848,0.534106821,0.003276655,2.17E-06,5.71E-15,2.17E-06
